,strain,pathway,genus,phylum,class,order,family,BUT,PRO
0,Abiotrophia defectiva,,Abiotrophia,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,0,0
1,Acetanaerobacterium elongatum,,Acetanaerobacterium,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,0,0
2,Achromobacter denitrificans,,Achromobacter,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,0,0
3,Achromobacter insuavis,,Achromobacter,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,0,0
4,Achromobacter spanius,,Achromobacter,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,0,0
5,Achromobacter xylosoxidans,,Achromobacter,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,0,0
6,Acidaminococcus fermentans,Glu,Acidaminococcus,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,1,0
7,Acidaminococcus intestini D21 MAF 2,Glu,Acidaminococcus,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,1,0
8,Acidaminococcus-intestini-D21-MAF-2,,Acidaminococcus,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,0,0
9,Acidovorax facilis,,Acidovorax,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,0,0
10,Acidovorax wautersii,,Acidovorax,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,0,0
11,Acinetobacter baumannii,,Acinetobacter,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,0,0
12,Acinetobacter calcoaceticus,,Acinetobacter,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,0,0
13,Acinetobacter haemolyticus,,Acinetobacter,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,0,0
14,Acinetobacter johnsonii,,Acinetobacter,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,0,0
15,Acinetobacter junii,,Acinetobacter,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,0,0
16,Acinetobacter lwoffii,,Acinetobacter,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,0,0
17,Acinetobacter pittii,,Acinetobacter,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,0,0
18,Acinetobacter radioresistens,,Acinetobacter,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,0,0
19,Acinetobacter septicus,,Acinetobacter,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,0,0
20,Actinobacillus capsulatus,,Actinobacillus,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,0,0
21,Actinobacillus pleuropneumoniae,,Actinobacillus,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,0,0
22,Actinomyces canis,,Actinomyces,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,0,0
23,Actinomyces cardiffensis,,Actinomyces,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,0,0
24,Actinomyces georgiae,,Actinomyces,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,0,0
25,Actinomyces graevenitzii,,Actinomyces,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,0,0
26,Actinomyces naeslundii,,Actinomyces,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,0,0
27,Actinomyces neuii,,Actinomyces,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,0,0
28,Actinomyces oris,,Actinomyces,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,0,0
29,Actinomyces turicensis,,Actinomyces,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,0,0
30,Actinomyces urogenitalis,,Actinomyces,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,0,0
31,Actinomyces viscosus,,Actinomyces,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,0,0
32,Adlercreutzia equolifaciens,,Adlercreutzia,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,0,0
33,Aerococcus viridans,,Aerococcus,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,0,0
34,Aeromicrobium massiliense,,Aeromicrobium,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,0,0
35,Aeromonas allosaccharophila,,Aeromonas,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,0,0
36,Aeromonas bestiarum,,Aeromonas,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,0,0
37,Aeromonas caviae,,Aeromonas,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,0,0
38,Aeromonas enteropelogenes,,Aeromonas,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,0,0
39,Aeromonas hydrophila,,Aeromonas,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,0,0
40,Aeromonas jandaei,,Aeromonas,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,0,0
41,Aeromonas media,,Aeromonas,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,0,0
42,Aeromonas punctata,,Aeromonas,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,0,0
43,Aeromonas tecta,,Aeromonas,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,0,0
