,Unnamed: 0.1,Unnamed: 0,strain,species,medium,sample_number,growth_rate,growthcurve_time,pH,num_av,date_of_experiment,glucose,acetate,propionate,succinate,lactate,butyrate,formate,maltose,total_ferm,total_uptake
164,,,DSM20083,B.adolescentis,BHI,,1.71\pm0.07,,,2,,-12.44\pm0.6,18.35\pm1.0,6.22\pm0.02,0.0\pm0.0,9.41\pm1.04,0.0\pm0.0,1.84\pm0.46,-0.31\pm0.16,17.91131927,-13.06\pm0.28
166,,,HM-727,B.finegoldii,BHI,,1.19\pm0.13,,,3,,-6.12\pm1.01,7.26\pm0.71,0.81\pm0.81,0.0\pm0.0,3.61\pm4.42,0.0\pm0.0,3.56\pm3.09,-0.08\pm0.1,7.620410113428162,-6.28\pm0.83
168,,,ATCC25285,B.fragilis,BHI,,2.98\pm1.84,,,2,,-4.46\pm0.27,18.06\pm11.04,1.19\pm1.68,4.72\pm2.24,1.49\pm1.0,0.0\pm0.0,12.24\pm9.0,0.0\pm0.0,18.85039813599358,-4.46\pm0.27
173,,,DSM20219,B.longum,BHI,,2.81\pm0.91,,,2,,-10.4\pm4.12,7.27\pm3.35,16.13\pm16.01,1.45\pm2.06,16.75\pm10.27,0.0\pm0.0,5.63\pm2.96,0.0\pm0.0,23.621445550567305,-10.4\pm4.12
176,,,ATCC8483,B.ovatus,BHI,,3.56\pm0.74,,,3,,-6.65\pm0.43,29.4\pm3.35,0.0\pm0.0,5.14\pm2.09,1.67\pm1.16,0.0\pm0.0,21.67\pm3.25,-0.03\pm0.05,28.93763828908648,-6.71\pm0.51
179,,,ATCC29148,B.theta,BHI,,3.32\pm0.38,,,3,,-2.83\pm2.42,24.03\pm0.96,0.0\pm0.0,4.21\pm7.29,0.14\pm0.24,0.0\pm0.0,13.16\pm13.38,-0.07\pm0.11,20.76717046251558,-2.97\pm2.32
184,,,DSM 1447,B.vulgatus,BHI,,2.07\pm1.0,,,5,,-6.8\pm2.96,13.05\pm9.81,2.42\pm2.02,1.26\pm1.26,7.22\pm12.31,0.0\pm0.0,6.3\pm6.71,-0.15\pm0.13,15.126919729172121,-7.1\pm3.2
188,,,DSM3979,C.aerofaciens,BHI,,1.47\pm0.34,,,2,,-9.23\pm5.98,10.46\pm0.49,0.0\pm0.0,0.39\pm0.54,15.64\pm2.57,0.0\pm0.0,17.29\pm3.61,-1.15\pm1.62,21.88690266,-11.53\pm9.22
192,,,NCM3722,E.coli,BHI,,4.11\pm0.68,,,3,,-4.67\pm0.11,25.11\pm6.62,0.0\pm0.0,1.1\pm1.7,0.06\pm0.11,0.0\pm0.0,13.05\pm9.35,-0.07\pm0.13,19.65916055203455,-4.81\pm0.33
196,,,ATCC33656,E.rectale,BHI,,1.7\pm0.26,,,6,,-6.25\pm3.66,10.51\pm5.92,2.24\pm3.55,0.58\pm1.24,6.95\pm8.4,3.17\pm2.89,6.7\pm7.51,-0.89\pm2.12,15.079877237711552,-8.04\pm5.58
200,,,DSM17677,F.prausnitzii,BHI,,1.59\pm0.15,,,4,,-7.22\pm1.97,12.96\pm5.26,0.58\pm0.7,0.07\pm0.09,13.48\pm2.28,2.0\pm2.34,6.72\pm4.43,-0.3\pm0.32,17.908688210321515,-7.82\pm2.51
206,,,HM-169,P.distastonis,BHI,,1.32\pm0.4,,,4,,-5.93\pm0.62,5.61\pm0.65,9.45\pm4.92,0.07\pm0.14,2.06\pm2.94,0.0\pm0.0,2.82\pm2.47,-0.42\pm0.11,10.002053416338953,-6.76\pm0.81
